us-east-1-ec2.json
us-east-1-ebs.json
rosa-pricing-example-ondemand - Multi AZ, , , , , ,
,,"Option1: On Demand",,"Option 2: ROSA 1 yr", "" , "Option 3: 3 Year"
,, Monthly, Annually, Monthly, Annually, Monthly, Annually
,ROSA Control Plane Cost (EC2): 3x m5.2xlarge, 841, 10092,,,,
,ROSA Infra Node Cost (EC2): 3x r5.xlarge nodes, 552, 6623,,,,
,ROSA Data Plane Cost (EC2): 3x nodes, 420, 5046,,,,
,ROSA Storage Cost (EBS): 3x worker nodes 300GB General Purpose SSDs (gp3 - 3000 IOPS + 2 daily snapshots), 131, 1572,,,,
,ROSA Storage Cost (EBS): 3x infra nodes 300GB General Purpose SSDs (gp3 - 3000 IOPS + 2 daily snapshots), 131, 1572,,,,
,ROSA Storage Cost (EBS): 3x control plane nodes 350GB General Purpose SSDs (gp3 - 3000 IOPS + 2 daily snapshots), 150, 1800,,,,
,ROSA Control plane Red Hat fee, 22, 263,,,,
,ROSA Data plane Red Hat fee, 374, 4494,,,,
,, 2621, 31452, 1730, 20758, 1179, 14153
rosa-pricing-example-ondemand - Single AZ, , , , , ,
,,"Option1: On Demand",,"Option 2: ROSA 1 yr", "" , "Option 3: 3 Year"
,, Monthly, Annually, Monthly, Annually, Monthly, Annually
,ROSA Control Plane Cost (EC2): 3x m5.2xlarge, 841, 10092,,,,
,ROSA Infra Node Cost (EC2): 2x r5.xlarge nodes, 368, 4415,,,,
,ROSA Data Plane Cost (EC2): 3x nodes, 420, 5046,,,,
,ROSA Storage Cost (EBS): 3x worker nodes 300GB General Purpose SSDs (gp3 - 3000 IOPS + 2 daily snapshots), 131, 1572,,,,
,ROSA Storage Cost (EBS): 2x infra nodes 300GB General Purpose SSDs (gp3 - 3000 IOPS + 2 daily snapshots), 87, 1044,,,,
,ROSA Storage Cost (EBS): 3x control plane nodes 350GB General Purpose SSDs (gp3 - 3000 IOPS + 2 daily snapshots), 150, 1800,,,,
,ROSA Control plane Red Hat fee, 22, 263,,,,
,ROSA Data plane Red Hat fee, 374, 4494,,,,
,, 2393, 28716, 1579, 18953, 1077, 12922
